"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1884682626524659830","Wed Jan 29 19:18:48 +0000 2025","0","Makan bergizi gratis tapi tidak sehat. Goblok itu namanya teh","1884682626524659830","","","in","","0","0","0","https://x.com/purpylrus/status/1884682626524659830","1118909664870035458","purpylrus"
"1884619555898847308","Wed Jan 29 15:08:11 +0000 2025","0","ko bisa makan bergizi gratis &gt; pendidikan dan kesehatan 😭😭","1884619555898847308","","","in","","0","0","0","https://x.com/Dinnd0_/status/1884619555898847308","3273859026","Dinnd0_"
"1884663000503812500","Wed Jan 29 18:00:49 +0000 2025","1","udh brp kali ya gw ngetwit “makan siang gratis but at what cost” 😁😁😁","1884663000503812500","","","in","","0","0","0","https://x.com/nadendraa/status/1884663000503812500","1151897617950892032","nadendraa"
"1884086676416520333","Wed Jan 29 23:43:06 +0000 2025","497","@nowyoucatchme @BetaEpsilonPhi @PNS_Ababil Bocil ulang tahun aja yg di ucapin pertama semoga jadi anak pinter dan anak sehat bukan semoga jadi anak yg dapet bantuan makan bergizi gratis 🥲","1884749139688534257","","nowyoucatchme","in","","2","2","64","https://x.com/egolerian/status/1884749139688534257","1294475096","egolerian"
"1884744405820871100","Wed Jan 29 23:24:17 +0000 2025","2","Makan bergizi gratis harusnya jadi bagian dari kesehatan. Kemudian, untuk kesehatan dan pendidikan harusnya jadi prioritas utama, bukan pendukung. Untuk prioritas pendukung, saudara dapat menambahkan perkembangan SDA, infrastruktur, adat istiadat dan transportasi.","1884744405820871100","","","in","","0","1","0","https://x.com/Aerlangga333/status/1884744405820871100","1449396998612733952","Aerlangga333"
"1880435995944054832","Sat Jan 18 02:04:12 +0000 2025","2144","Sekali lagi, saya percaya ketulusan dan komitmen Pak Prabowo di program Makan Bergizi Gratis. Penggunaan kata 'bergizi' ini sangat bagus sebagai standard dan harapan. Tak sekadar gratis tapi sekaligus berkualitas. Sayang, para pendengung yg justru mereduksi program ini.","1880435995944054832","","","in","","78","278","558","https://x.com/prastow/status/1880435995944054832","88581196","prastow"
"1884728067740098969","Wed Jan 29 22:19:22 +0000 2025","0","wallahi we're fucked... wdym prioritws utama makan bergizi GRATIS???","1884728067740098969","","","in","","0","0","0","https://x.com/gemiloyn/status/1884728067740098969","1531254102046347264","gemiloyn"
"1876826165895426114","Wed Jan 08 03:49:35 +0000 2025","220","@ARSIPAJA Makan Bergizi Gratis ❌
Makan Bergizi Gratis (tapi duitnya kurang, jadi tombokin bersama dulu yuk, eh jadinya gak gratis deh) ✅","1876838637955948714","","ARSIPAJA","in","","1","4","10","https://x.com/erlangga_tsu/status/1876838637955948714","1784563179001163777","erlangga_tsu"
"1884625430357188740","Wed Jan 29 15:31:31 +0000 2025","0","mau ngasih makan siang BERGIZI gratis ke ANAK SEKOLAH tapi PENDIDIKAN dan KESEHATAN aja masuk prioritas pendukung. logikanya dimana?","1884625430357188740","","","in","","0","0","0","https://x.com/sheisrossie/status/1884625430357188740","1071346736503771136","sheisrossie"
"1876245260655026608","Mon Jan 06 14:43:47 +0000 2025","272","@m4retha Makan gratis itu g efektif karn bbr hal 1. Anggaran membengkak
2. Tipikal manusia itu cpt bosan
3. Selera org berbeda2
4. Lemah di cara penyajian
Mending di ganti dengan pemberian buah, seminggu 2x , sudah sehat, budget g terlalu bengkak. Klo g suka buah bs di antisipsi dgn jus","1876278497167167935","","m4retha","in","","2","1","19","https://x.com/xinyuthingker/status/1876278497167167935","1333580950446305281","xinyuthingker"
